in,index,value
409,409,6.850054551115314
410,410,4.651397122144634
411,411,4.9862297499754495
412,412,6.194325124664202
413,413,5.280694516222155
414,414,6.741052602267395
415,415,4.451970474540744
416,416,4.574415215592067
417,417,6.193534942736541
418,418,5.632566145370415
419,419,5.815303787146633
420,420,4.75167259108024
421,421,4.533029736878002
422,422,6.726286615397748
423,423,4.671459177489101
424,424,6.774419612677246
425,425,4.684698397958684
426,426,4.9495178895923715
427,427,6.324554772409651
428,428,4.565445032802099
429,429,6.499703383325576
430,430,4.748892189902703
431,431,4.53219054259685
432,432,6.473486884230323
433,433,4.576719599895674
434,434,7.0274374653570515
435,435,4.729703228297613
436,436,4.489822397256904
437,437,6.262819548331223
438,438,5.337589195884899
439,439,6.335680708130451
440,440,4.417530766322527
441,441,4.910060417494934
442,442,6.136863540983829
443,443,6.042871924374905
444,444,5.76082099798658
445,445,4.847314242793427
446,446,4.46700848577234
447,447,6.365353507511063
448,448,4.722510027820665
449,449,6.967320586257527
450,450,4.9423435244752785
451,451,4.428746749145615
452,452,5.930302197357773
453,453,5.2214100746383725
454,454,6.842709508084607
455,455,4.584014818423803
456,456,4.681532875412504
457,457,6.551173363385162
458,458,4.197961716083901
459,459,7.142319481062831
460,460,4.8725858726778775
461,461,4.566918014172942
462,462,6.4124667151437835
463,463,4.998842854338973
464,464,6.628437336259067
465,465,4.557422503757547
466,466,4.679264643856357
467,467,5.937385762776093
468,468,5.630749659348973
469,469,6.345939920306801
470,470,4.417235471188126
471,471,4.601259986536228
472,472,6.513757699648362
473,473,4.771198624523574
474,474,6.758102843268123
475,475,4.605504203697728
476,476,4.416951292448317
477,477,5.967070752455234
478,478,5.169440052476013
479,479,6.456277336686651
480,480,4.472637505799955
481,481,4.741211515698067
482,482,6.378677085510452
483,483,3.977427297612923
484,484,7.320477906923772
485,485,4.553507045092748
486,486,4.7820900223150895
487,487,6.351929961760522
488,488,5.266307729722911
489,489,6.522474933479092
490,490,4.3908277353179805
491,491,4.92028582029196
492,492,6.334208223552553
493,493,5.80727057798889
494,494,6.269106083355513
495,495,4.878784211367297
496,496,4.755801052188508
497,497,6.652579940957715
498,498,4.853109144227886
499,499,6.909174473352562
500,500,4.669650036762784
501,501,4.705086001504993
502,502,5.679644273288859
503,503,5.3048150094867825
504,504,6.6425884700271105
505,505,4.550857116909009
506,506,5.176334467943047
507,507,6.056825357292209
508,508,4.369581686694127
509,509,7.450112656627458
510,510,4.680178422487019
511,511,4.816882046106996
512,512,6.243786222556986
513,513,5.307810194053543
514,514,6.418282207629007
515,515,4.693269318665976
516,516,4.45364911998862
517,517,6.150717667482455
518,518,5.802981102785784
519,519,5.917391170960414
520,520,4.572203249056707
521,521,4.410180922968666
522,522,7.152982208397221
523,523,4.724489276110862
524,524,6.77994352950685
525,525,4.453404658926964
526,526,4.723399037681543
527,527,5.903111859948863
528,528,5.500291990530138
529,529,6.85141876243059
530,530,4.545456595903182
531,531,4.940510146678461
532,532,6.314221247299286
533,533,4.572604358134022
534,534,7.294411526220133
535,535,4.692379879942773
536,536,4.532411542097269
537,537,6.2158187487926755
538,538,5.131663168786574
539,539,6.045474613658609
540,540,4.790362653822706
541,541,4.462043460694263
542,542,6.087181725385113
543,543,5.654122540550867
544,544,6.272337096991318
545,545,4.36922339294709
546,546,4.487597279257647
547,547,6.723436185233897
548,548,4.653492653869007
549,549,6.594019835184408
550,550,4.765849816471234
551,551,4.9152595807344595
552,552,6.100705022873939
553,553,4.9778146203131755
554,554,6.8457923290561205
555,555,4.457508653893683
556,556,4.913495966824952
557,557,6.322488330719814
558,558,4.758469013660132
559,559,7.29461819630536
560,560,4.70489788568705
561,561,4.555321850616737
562,562,6.284451196207785
563,563,5.533773564841745
564,564,6.40276859701703
565,565,4.5111033800096605
566,566,4.853131032273137
567,567,6.146857554240709
568,568,5.6517049060180815
569,569,6.365548386732797
570,570,4.553432270799438
571,571,4.4451950333078125
572,572,6.716188657854426
573,573,4.692685920830086
574,574,6.738859851681381
575,575,4.57558103536922
576,576,4.611729086077442
577,577,5.836383140375357
578,578,5.064909456933814
579,579,6.957297936816649
580,580,4.663637155332532
581,581,4.416587508117845
582,582,6.614314367510053
583,583,4.72811473238863
584,584,7.084868923039628
585,585,4.841435822079475
586,586,4.870122029852651
587,587,5.8664542507541935
588,588,5.533420514826929
589,589,6.6918064156219526
590,590,4.464231513126179
591,591,4.770212956780919
592,592,5.753904284748052
593,593,5.933985616076277
594,594,6.252624261982808
595,595,4.616444754103835
596,596,4.604290778790649
597,597,6.290716747209863
598,598,4.7346084671189
599,599,6.715229238318763
600,600,4.339004468989446
601,601,4.407020665463337
602,602,5.956496357530032
603,603,5.014474029630218
604,604,6.534621555239776
605,605,4.7121547447142715
606,606,4.4331611958796
607,607,6.197501784479909
608,608,4.838163945940644
609,609,6.996636795291333
610,610,4.5986061985158875
611,611,4.573196546366653
612,612,6.108500420206772
613,613,5.0827549012175455
614,614,6.623370810328436
615,615,4.279950093729951
616,616,4.978350909310932
617,617,6.0335005944884905
618,618,5.179446095392637
619,619,6.607214284485323
620,620,4.360835543420577
621,621,4.614762258121841
622,622,6.964886655880532
623,623,5.00365651885042
624,624,6.6673322430009065
625,625,4.569533955926753
626,626,4.59395036428531
627,627,6.117210648286333
628,628,5.067563331816023
629,629,6.624687300607032
630,630,4.682568629861567
631,631,4.841686592874
632,632,6.792947180147209
633,633,4.7134704545676325
634,634,7.161465625616361
635,635,4.88693555772131
636,636,4.84912700089828
637,637,6.3308729967224835
638,638,5.098309964565699
639,639,6.363814045684823
640,640,4.3682478551336885
641,641,4.94951644400297
642,642,6.13449392002788
643,643,5.7552822123512986
644,644,6.146787414428275
645,645,4.6259317806426825
646,646,4.632156786984966
647,647,6.739967563555366
